,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,luderitz,na,-26.6481,15.1594,49.44,92.0,0.0,14.45
1,shimoda,jp,34.701,138.9287,68.58,100.0,100.0,2.93
2,new norfolk,au,-42.7802,147.0615,48.42,92.0,64.0,9.64
3,ilulissat,gl,69.2167,-51.1,36.18,92.0,92.0,9.19
5,maldonado,uy,-34.9088,-54.9583,48.7,89.0,68.0,19.15
6,pevek,ru,69.7028,170.2747,45.57,67.0,8.0,8.75
7,rikitea,pf,-23.1203,-134.9692,76.62,100.0,80.0,13.44
8,severo-kurilsk,ru,50.6789,156.125,45.66,92.0,92.0,13.44
9,busselton,au,-33.6445,115.3489,54.66,100.0,12.0,9.53
10,riberalta,bo,-10.9974,-66.0752,78.58,61.0,8.0,3.15
12,kodiak,us,39.9519,-94.7572,81.68,82.0,0.0,4.94
13,longyearbyen,sj,78.2186,15.6401,48.06,90.0,48.0,3.15
14,kattivakkam,in,13.2167,80.3167,85.51,100.0,64.0,9.75
15,butaritari,ki,3.0707,172.7902,84.27,100.0,68.0,4.05
16,yafran,ly,32.0638,12.5277,60.87,61.0,0.0,3.15
18,hobart,au,-42.8826,147.3281,48.42,76.0,88.0,9.31
19,ushuaia,ar,-54.807,-68.3074,25.7,100.0,80.0,2.71
21,san cristobal,ec,-1.0243,-79.4413,62.04,97.0,64.0,2.15
23,port alfred,za,-33.5906,26.891,63.39,91.0,0.0,21.05
26,bredasdorp,za,-34.5331,20.0428,59.09,85.0,76.0,21.5
27,faanui,pf,-16.4834,-151.75,80.85,100.0,0.0,14.0
28,sajanan,tn,37.0573,9.2426,69.67,100.0,92.0,7.96
29,kapaa,us,22.0752,-159.319,84.4,80.0,20.0,11.99
32,sawakin,sd,19.1031,37.3312,88.9,54.0,68.0,5.84
34,atuona,pf,-9.8,-139.0334,80.49,100.0,0.0,18.03
35,krutikha,ru,53.9599,81.2093,61.95,91.0,64.0,2.59
36,yenagoa,ng,4.9247,6.2642,72.75,93.0,64.0,4.16
39,carnarvon,au,-24.8667,113.6333,57.27,100.0,0.0,18.7
40,leh,in,34.1642,77.5848,29.37,97.0,92.0,1.59
41,punta arenas,cl,-53.1627,-70.9081,35.01,100.0,88.0,10.65
42,hilo,us,19.7072,-155.0817,81.36,100.0,68.0,15.68
44,port lincoln,au,-34.7212,135.8592,56.55,100.0,44.0,12.21
45,saint-philippe,re,-21.3586,55.7679,68.72,100.0,88.0,12.1
47,los llanos de aridane,es,28.6585,-17.9183,68.14,100.0,0.0,6.62
48,yellowknife,ca,62.4541,-114.3774,67.01,63.0,36.0,12.21
49,puerto ayora,ec,-0.7394,-90.3518,76.82,94.0,0.0,12.88
56,te anau,nz,-45.4145,167.7175,37.92,95.0,64.0,9.08
57,mar del plata,ar,-46.4276,-67.5191,35.49,78.0,12.0,13.67
58,road town,vg,18.4167,-64.6167,80.02,100.0,88.0,17.81
59,sabzevar,ir,36.2134,57.6809,69.33,35.0,8.0,3.71
64,arraial do cabo,br,-22.9663,-42.0245,70.75,81.0,0.0,17.92
68,nome,us,30.0358,-94.4244,87.6,70.0,0.0,11.43
69,albany,au,-35.0248,117.8836,42.06,92.0,48.0,2.93
70,hinton,ca,53.4047,-117.5703,69.78,38.0,92.0,3.15
72,khakhea,bw,-24.6942,23.5039,43.14,72.0,0.0,2.93
74,hermanus,za,-34.4176,19.2361,54.39,85.0,56.0,6.62
76,fairbanks,us,64.8378,-147.7167,68.04,57.0,44.0,7.29
78,ust-omchug,ru,61.1332,149.6325,69.87,33.0,48.0,3.38
